"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Laverton","5 Bladin St","house",3,525000.0,"2018-08-04","auction sale","Ray White Point Cook","https://www.realestateview.com.au/real-estate/5-bladin-street-laverton-vic/property-details-buy-residential-11977406/"
"Lilydale","15a Fortune Av","land",0,355000.0,"2018-07-16","private sale","Methven Professionals",""
"Longwarry","16 Flinders Rd","house",4,,"2018-08-04","passed in at auction","Karen McCormick Real Estate","https://www.realestateview.com.au/real-estate/16-flinders-road-longwarry-vic/property-details-buy-residential-11640000/"
"Lower Plenty","26 Old Eltham Rd","house",5,,"2018-07-31","private sale","Morrison Kleeman","https://www.realestateview.com.au/real-estate/26-old-eltham-road-lower-plenty-vic/property-details-sold-residential-11758894/"
"Lower Plenty","6 Woodfull Rd","house",6,,"2018-07-25","private sale","Morrison Kleeman","https://www.realestateview.com.au/real-estate/6-woodfull-road-lower-plenty-vic/property-details-sold-residential-11932756/"
"Macleod","6 Dwyer St","house",4,1100000.0,"2018-08-03","private sale","Ray White Macleod","https://www.realestateview.com.au/real-estate/6-dwyer-street-macleod-vic/property-details-buy-residential-11726377/"
"Macleod","30 Harborne St","house",3,850000.0,"2018-07-30","private sale","Darren Jones",""
"Macleod","3/142 Somers Av","unit",3,720000.0,"2018-07-30","private sale","Darren Jones","https://www.realestateview.com.au/real-estate/3-142-somers-avenue-macleod-vic/property-details-sold-residential-11932752/"
"Macleod","28 Jacka St","house",3,1150000.0,"2018-07-25","private sale","Miles RE",""
"Maidstone","3/16 Yardley St","townhouse",2,570650.0,"2018-08-01","private sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/3-16-yardley-street-maidstone-vic/property-details-sold-residential-11848709/"
"Maidstone","27/46 Eucalyptus Dr","flat",2,,"2018-08-04","passed in vendor bid","Harcourts Footscray",""
"Malvern","4A Eva St","townhouse",4,1700000.0,"2018-08-04","passed in vendor bid","Marshall White & Co","https://www.realestateview.com.au/real-estate/4a-eva-street-malvern-vic/property-details-buy-residential-11979915/"
"Malvern","118/14 Elizabeth St","apartment",1,385000.0,"2018-07-27","private sale","Dingle Partners",""
"Malvern","24 A Horace St","townhouse",4,2450000.0,"2018-07-26","private sale","Marshall White & Co",""
"Malvern East","15 Cairnes Cr","house",3,1595500.0,"2018-08-04","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/15-cairnes-crescent-malvern-east-vic/property-details-sold-residential-11979940/"
"Malvern East","6 Llanos Av","house",3,1295000.0,"2018-08-04","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/6-llanos-avenue-malvern-east-vic/property-details-sold-residential-11972705/"
"Malvern East","119 Chadstone Rd","house",2,,"2018-08-04","passed in at auction","Jellis Craig","https://www.realestateview.com.au/real-estate/119-chadstone-road-malvern-east-vic/property-details-buy-residential-11972735/"
"Malvern East","1/1207 Dandenong Rd","apartment",1,,"2018-08-04","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/1-1207-dandenong-road-malvern-east-vic/property-details-sold-residential-11977469/"
"Maribyrnong","3 Casuarina Cl","house",5,1200000.0,"2018-08-04","passed in at auction","Trimson Partners",""
"Maribyrnong","G06/20 Pier La","apartment",3,687500.0,"2018-08-04","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/g06-20-pier-lane-maribyrnong-vic/property-details-sold-residential-11963840/"
"Maribyrnong","G21/55 Cumberland Dr","apartment",2,410000.0,"2018-08-01","private sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/g21-55-cumberland-drive-maribyrnong-vic/property-details-sold-residential-11934745/"
"Maribyrnong","10/2 La Scala Av","flat/unit/apartment",2,475000.0,"2018-07-27","private sale","Avion Properties",""
"Mccrae","37 The Avenue","land",0,,"2018-08-04","passed in vendor bid","Eview Group",""
"Meadow Heights","11A Taradale Ct","townhouse",3,494420.0,"2018-08-02","private sale","Claudio + Marwan Residential - Eview Group","https://www.realestateview.com.au/real-estate/11a-taradale-court-meadow-heights-vic/property-details-sold-residential-11985213/"
"Meadow Heights","6 Binnak Ct","house",3,,"2018-08-04","passed in at auction","Barry Plant","https://www.realestateview.com.au/real-estate/6-binnak-court-meadow-heights-vic/property-details-buy-residential-11973002/"
"Melbourne","1607/594 St Kilda Rd","apartment",2,725000.0,"2018-07-30","private sale","Dingle Partners",""
"Melbourne","3903/22-24 Jane Bell La","apartment",2,660000.0,"2018-07-16","private sale","Elite RE",""
"Melbourne","3011/220 Spencer St","apartment",2,643000.0,"2018-07-03","private sale","MICM Real Estate","https://www.realestateview.com.au/real-estate/3011-220-spencer-street-melbourne-vic/property-details-sold-residential-11923131/"
"Melbourne","63/632 St Kilda Rd","apartment",3,,"2018-08-01","sold before auction","MICM Real Estate","https://www.realestateview.com.au/real-estate/63-632-st-kilda-road-melbourne-vic/property-details-buy-residential-11962661/"
"Mentone","16 Rimmer St","house",3,1075000.0,"2018-08-04","passed in vendor bid","Hodges","https://www.realestateview.com.au/real-estate/16-rimmer-street-mentone-vic/property-details-buy-residential-11981847/"
"Mentone","1/63 Flinders St","townhouse",3,1008000.0,"2018-07-23","private sale","Buxton",""
"Mentone","1/121 Collins St","townhouse",3,930000.0,"2018-07-17","private sale","Buxton",""
"Mentone","21 Bundora Pde","house",3,,"2018-08-04","auction sale","Hodges","https://www.realestateview.com.au/real-estate/21-bundora-parade-mentone-vic/property-details-buy-residential-11980616/"
"Mentone","17 Elizabeth St","house",4,,"2018-08-04","passed in vendor bid","Buxton","https://www.realestateview.com.au/real-estate/17-elizabeth-street-mentone-vic/property-details-buy-residential-11977627/"
"Mentone","7/13 Florence St","unit",1,,"2018-07-28","private sale","Century 21 Property Group","https://www.realestateview.com.au/real-estate/7-13-florence-street-mentone-vic/property-details-buy-residential-12001505/"
